2025 Bocceball Play Schedule:
Team 1 ,Team 14,Team 16,Team 17,Team 24,Team 26,Team 27,Team 3,Team 30
Team 2 ,Team 11,Team 12,Team 13,Team 16,Team 18,Team 25,Team 5,Team 7
Team 3 ,Team 1,Team 11,Team 16,Team 21,Team 28,Team 5,Team 8,Team 9
Team 4 ,Team 13,Team 15,Team 16,Team 20,Team 27,Team 5,Team 6,Team 9
Team 5 ,Team 14,Team 15,Team 2,Team 20,Team 22,Team 28,Team 3,Team 4
Team 6 ,Team 19,Team 22,Team 23,Team 24,Team 26,Team 28,Team 31,Team 4
Team 7 ,Team 13,Team 15,Team 19,Team 2,Team 21,Team 26,Team 8,Team 9
Team 8 ,Team 13,Team 17,Team 18,Team 25,Team 3,Team 30,Team 31,Team 7
Team 9 ,Team 10,Team 12,Team 24,Team 28,Team 3,Team 31,Team 4,Team 7
Team 10 ,Team 12,Team 17,Team 20,Team 21,Team 24,Team 26,Team 31,Team 9
Team 11 ,Team 14,Team 16,Team 18,Team 2,Team 22,Team 26,Team 3,Team 30
Team 12 ,Team 10,Team 16,Team 2,Team 23,Team 24,Team 29,Team 30,Team 9
Team 13 ,Team 14,Team 17,Team 2,Team 27,Team 29,Team 4,Team 7,Team 8
Team 14 ,Team 1,Team 11,Team 13,Team 19,Team 21,Team 27,Team 28,Team 5
Team 15 ,Team 17,Team 18,Team 24,Team 27,Team 29,Team 4,Team 5,Team 7
Team 16 ,Team 1,Team 11,Team 12,Team 2,Team 28,Team 29,Team 3,Team 4
Team 17 ,Team 1,Team 10,Team 13,Team 15,Team 26,Team 29,Team 30,Team 8
Team 18 ,Team 11,Team 15,Team 2,Team 20,Team 21,Team 23,Team 26,Team 8
Team 19 ,Team 14,Team 20,Team 22,Team 25,Team 28,Team 31,Team 6,Team 7
Team 20 ,Team 10,Team 18,Team 19,Team 23,Team 25,Team 29,Team 4,Team 5
Team 21 ,Team 10,Team 14,Team 18,Team 23,Team 25,Team 27,Team 3,Team 7
Team 22 ,Team 11,Team 19,Team 25,Team 28,Team 30,Team 31,Team 5,Team 6
Team 23 ,Team 12,Team 18,Team 20,Team 21,Team 25,Team 27,Team 30,Team 6
Team 24 ,Team 1,Team 10,Team 12,Team 15,Team 27,Team 29,Team 6,Team 9
Team 25 ,Team 19,Team 2,Team 20,Team 21,Team 22,Team 23,Team 31,Team 8
Team 26 ,Team 1,Team 10,Team 11,Team 17,Team 18,Team 29,Team 6,Team 7
Team 27 ,Team 1,Team 13,Team 14,Team 15,Team 21,Team 23,Team 24,Team 4
Team 28 ,Team 14,Team 16,Team 19,Team 22,Team 3,Team 5,Team 6,Team 9
Team 29 ,Team 12,Team 13,Team 15,Team 16,Team 17,Team 20,Team 24,Team 26
Team 30 ,Team 1,Team 11,Team 12,Team 17,Team 22,Team 23,Team 31,Team 8
Team 31 ,Team 10,Team 19,Team 22,Team 25,Team 30,Team 6,Team 8,Team 9
